"test","loc","genotype","code","fc","pc","note1","note2","year","rep","plot","md","lod","ht","yield","sdwt","sq","pro","oil","p_o","id","ag_score","hif_family","allele_call","shriveled","det","linolenic","oleic","herbicide","shrivel"
"LP HOLL","Cas","N16-1253","1",".","G","green stem",NA,2017,1,13,23,2.5,NA,1282.9,14,NA,43.83,19.72,63.55,"13*N16-1253*LP HOLL*Cas*2017*1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1253","1",".","G","green stem",NA,2017,2,18,29,3,NA,1109.4,14.1,NA,43.17,19.44,62.61,"18*N16-1253*LP HOLL*Cas*2017*1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1253","1",".","G",NA,NA,2017,3,41,NA,2,NA,1288.5,NA,NA,43.51,19.46,62.97,"41*N16-1253*LP HOLL*Cas*2017*1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1295","10",".","T","green stem",NA,2017,1,11,15,1.5,NA,593.2,18.2,NA,42.61,22.08,64.69,"11*N16-1295*LP HOLL*Cas*2017*10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1295","10",".","T","green stem",NA,2017,2,31,16,2.5,NA,1228.2,17.4,NA,40.18,23.07,63.25,"31*N16-1295*LP HOLL*Cas*2017*10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1295","10",".","T",NA,NA,2017,3,44,NA,2,NA,1467.3,NA,NA,39.84,23.84,63.68,"44*N16-1295*LP HOLL*Cas*2017*10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1296","11",".","T","green stem",NA,2017,1,8,22,2,NA,1303.5,18.6,NA,41.81,22.73,64.54,"8*N16-1296*LP HOLL*Cas*2017*11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1296","11",".","T","green stem",NA,2017,2,28,17,2,NA,1520,17.7,NA,40.06,23.54,63.6,"28*N16-1296*LP HOLL*Cas*2017*11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1296","11",".","T",NA,NA,2017,3,43,NA,2,NA,1432.4,NA,NA,41.09,23.02,64.11,"43*N16-1296*LP HOLL*Cas*2017*11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1297","12",".","T","green stem",NA,2017,1,15,17,2,NA,1515.2,18.3,NA,41.32,23.36,64.68,"15*N16-1297*LP HOLL*Cas*2017*12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1297","12",".","T","green stem",NA,2017,2,26,15,2,NA,1475,18.4,NA,41,23.38,64.38,"26*N16-1297*LP HOLL*Cas*2017*12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1297","12",".","T",NA,NA,2017,3,46,NA,2,NA,1139.8,NA,NA,41.97,22.57,64.54,"46*N16-1297*LP HOLL*Cas*2017*12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","NC15-25030","13",".","S",NA,NA,2017,1,6,14,4,NA,928.4,14.3,NA,43.64,19.32,62.96,"6*NC15-25030*LP HOLL*Cas*2017*13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","NC15-25030","13",".","S",NA,NA,2017,2,24,14,4,NA,985.3,14.1,NA,42.86,19.55,62.41,"24*NC15-25030*LP HOLL*Cas*2017*13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","NC15-25030","13",".","S",NA,NA,2017,3,33,NA,1.5,NA,1328.5,NA,NA,41.48,21.41,62.89,"33*NC15-25030*LP HOLL*Cas*2017*13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","NC-ROY","14",".","G",NA,NA,2017,1,5,29,3,NA,1417.1,15.1,NA,42.93,21.22,64.15,"5*NC-ROY*LP HOLL*Cas*2017*14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","NC-ROY","14",".","G",NA,NA,2017,2,20,24,2.5,NA,1245.1,15.1,NA,42.28,21.68,63.96,"20*NC-ROY*LP HOLL*Cas*2017*14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","NC-ROY","14",".","G",NA,NA,2017,3,37,NA,2,NA,1272.9,NA,NA,42.84,21.54,64.38,"37*NC-ROY*LP HOLL*Cas*2017*14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","Miller","15",".","G",NA,NA,2017,1,1,22,1.5,NA,1444.5,17.7,NA,40.22,23.28,63.5,"1*Miller*LP HOLL*Cas*2017*15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","Miller","15",".","G",NA,NA,2017,2,30,17,2,NA,1537.7,16.9,NA,38.96,24.06,63.02,"30*Miller*LP HOLL*Cas*2017*15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","Miller","15",".","G",NA,NA,2017,3,45,NA,1.5,NA,1438.8,NA,NA,39.91,23.48,63.39,"45*Miller*LP HOLL*Cas*2017*15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","LLL05-14","16",".","G",NA,NA,2017,1,4,31,3.5,NA,1136.5,15.4,NA,43.69,20.62,64.31,"4*LLL05-14*LP HOLL*Cas*2017*16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","LLL05-14","16",".","G",NA,NA,2017,2,23,26,3,NA,1249.7,14.9,NA,42.28,20.52,62.8,"23*LLL05-14*LP HOLL*Cas*2017*16",NA,NA,NA,NA,NA,NA,NA,NA,NA
